Feature,Importance
60 Years & Above - Male - (Col. 15),0.10314277961846247
Total - Male - (Col. 18),0.09131862711666008
60 Years & Above - Total - (Col. 17),0.07924069445931164
Juveniles Apprehended - Total - (Col. 5),0.07375535856608965
30 Years & above - Below 45 Years - Total - (Col. 11),0.06842147889684772
18 Years & Above - Below 30 Years - Male - (Col. 6),0.064135038246221
18 Years & Above - Below 30 Years - Total - (Col. 8),0.05585526264904958
Total - Female - (Col. 19),0.055742177485903606
18 Years & Above - Below 30 Years - Female - (Col. 7),0.05493877650205321
45 Years & above - Below 60 Years - Female - (Col. 13),0.054256854135685956
Juveniles Apprehended - Boys - (Col. 3),0.05175719318868657
30 Years & above - Below 45 Years - Female - (Col. 10),0.051479610861601334
45 Years & above - Below 60 Years - Total - (Col. 14),0.04773507626914836
45 Years & above - Below 60 Years - Male - (Col. 12),0.04466888342872188
30 Years & above - Below 45 Years - Male - (Col. 9),0.04273420814483367
60 Years & Above - Female - (Col. 16),0.01958126625283265
Male_Female_Ratio,0.018995315596910464
Senior_60_Plus_Percentage,0.01203035961994123
Youth_18_30_Percentage,0.008484848484848486
Juveniles Apprehended - Girls - (Col. 4),0.0017261904761904762
Juvenile_Percentage,0.0
